Företagsnamn,Orgnr,Tolkning,Kod,Beskrivning,Personnummer,Förnamn,Efternamn,Funktion
ÅTERANVÄNDARNA GOTLAND Ekonomisk förening,7696230684,none,ALL,Ej tolkningsbart,198807243269,Sabina Ingegerd Viola,Blomberg,Styrelseledamot
ÅTERANVÄNDARNA GOTLAND Ekonomisk förening,7696230684,none,ALL,Ej tolkningsbart,199807053591,Jonas David Erik,Grönlund,Styrelsesuppleant
ÅTERANVÄNDARNA GOTLAND Ekonomisk förening,7696230684,none,ALL,Ej tolkningsbart,195601283210,Ulf Lage,Malmqvist,"Styrelseledamot, Ordförande"
ÅTERANVÄNDARNA GOTLAND Ekonomisk förening,7696230684,none,ALL,Ej tolkningsbart,199101214055,Rasmus Peter Arne,Mattsson,Styrelseledamot
ÅTERANVÄNDARNA GOTLAND Ekonomisk förening,7696230684,none,ALL,Ej tolkningsbart,196504063253,Lars Ola Gunnar,Mårtensson,Extern firmatecknare
ÅTERANVÄNDARNA GOTLAND Ekonomisk förening,7696230684,none,ALL,Ej tolkningsbart,195807253215,Peter Kenneth,Nilsson,Styrelseledamot
Bauhaus & Co KB,9696306944,complete,FAVE,Firman tecknas ensam av,165565284634,,Bauhaus AB,Komplementär
Boutique Lille Skutt KB,9168508795,complete,FAVE,Firman tecknas ensam av,165568142722,,Jörnestrand E & D AB,Komplementär
Braathens Crew AB,5567276216,partial,ALL,Ej tolkningsbart,165562715309,,Deloitte AB,Revisor
Braathens Crew AB,5567276216,partial,VD,Dessutom har verkställande direktören firmateckningsrätt beträffande löpande förvaltningsåtgärder,196903283304,Malin Helena,Brandtvig,Verkställande direktör
Braathens Crew AB,5567276216,partial,ALL,Ej tolkningsbart,197004120486,Åsa Ulrika,Regen Jansson,Styrelseledamot
Braathens Crew AB,5567276216,partial,ALL,Ej tolkningsbart,196906264137,Bengt Anders Richard,Peters,Huvudansvarig revisor
Braathens Crew AB,5567276216,partial,ALL,Ej tolkningsbart,196011230973,Per Georg,Braathen,Extern firmatecknare
Braathens Crew AB,5567276216,partial,ALL,Ej tolkningsbart,196903283304,Malin Helena,Brandtvig,"Styrelseledamot, Verkställande direktör, Ordförande"
Braathens Crew AB,5567276216,partial,ALL,Ej tolkningsbart,196805023212,Eric Jimmie Pontus,Bergqvist,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,FAS,Firman tecknas av styrelsen,196208221330,Claes Olof Gustav,Bertenstam,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,FAS,Firman tecknas av styrelsen,194806109312,Karl Thomas,Flinck,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,FAS,Firman tecknas av styrelsen,194612212938,Mats Bror Lennart,Jakobsson,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,FAS,Firman tecknas av styrelsen,194304070495,Rolf Gunnar,Wigström,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,TVÅIF,Firman tecknas två i förening av,196208221330,Claes Olof Gustav,Bertenstam,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,TVÅIF,Firman tecknas två i förening av,194806109312,Karl Thomas,Flinck,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,TVÅIF,Firman tecknas två i förening av,194612212938,Mats Bror Lennart,Jakobsson,Styrelseledamot
Briggen Tre Kronor AB,5565183588,complete,VD,Dessutom har verkställande direktören firmateckningsrätt beträffande löpande förvaltningsåtgärder,194612212938,Mats Bror Lennart,Jakobsson,Verkställande direktör
Briggen Tre Kronor AB,5565183588,complete,TVÅIF,Firman tecknas två i förening av,194304070495,Rolf Gunnar,Wigström,Styrelseledamot
Coala-Life Group AB (publ),5564954682,partial,ALL,Ej tolkningsbart,194801129398,Per Olof Anders,Carendi,"Styrelseledamot, Ordförande"
Coala-Life Group AB (publ),5564954682,partial,ALL,Ej tolkningsbart,195911280000,Christian,Jørgensen,Styrelseledamot
Coala-Life Group AB (publ),5564954682,partial,ALL,Ej tolkningsbart,197212099332,Per Henrik,Lindeberg,Styrelseledamot
Coala-Life Group AB (publ),5564954682,partial,ALL,Ej tolkningsbart,195612124650,Dan Christer,Pitulia,Extern verkställande direktör
Coala-Life Group AB (publ),5564954682,partial,ALL,Ej tolkningsbart,196912125090,Jan Peter,Troija,Styrelseledamot
Coala-Life Group AB (publ),5564954682,partial,VD,Dessutom har verkställande direktören firmateckningsrätt beträffande löpande förvaltningsåtgärder,195612124650,Dan Christer,Pitulia,Extern verkställande direktör
Coala-Life Group AB (publ),5564954682,partial,ALL,Ej tolkningsbart,165560296740,,Öhrlings PricewaterhouseCoopers AB,Revisor
Colorama ekonomisk förening,7696243331,none,ALL,Ej tolkningsbart,197811053979,Tobbe Mimå,Boklund,Styrelsesuppleant
Colorama ekonomisk förening,7696243331,none,ALL,Ej tolkningsbart,198512054019,Karl Sven Henrik,Järdler,Huvudansvarig revisor
Colorama ekonomisk förening,7696243331,none,ALL,Ej tolkningsbart,197409261455,Berth Gunnar Mattias,Lexäng,Styrelseledamot
Colorama ekonomisk förening,7696243331,none,ALL,Ej tolkningsbart,196309263579,Leif Börje Ronny,Persson,Styrelseledamot
Colorama ekonomisk förening,7696243331,none,ALL,Ej tolkningsbart,165560296740,,Öhrlings PricewaterhouseCoopers AB,Revisor
Colorama ekonomisk förening,7696243331,none,ALL,Ej tolkningsbart,196502150219,Jan Günther,Wilhelm,Styrelseledamot
Filial av PWT Group A/S,5164093782,complete,VFS,Firman tecknas var för sig av,196301300000,Ole,Koch Hansen,
Filial av PWT Group A/S,5164093782,complete,VFS,Firman tecknas var för sig av,196002120000,Claus,Back Nielsen,
Folkes Bygg & Byggnadsvård i Hanaskog AB,5566678172,complete,FAS,Firman tecknas av styrelsen,198802033558,Sven Albin Jonas,Carlsson,Styrelseledamot
Folkes Bygg & Byggnadsvård i Hanaskog AB,5566678172,complete,FAS,Firman tecknas av styrelsen,198003261495,Carl Jonas,Gustafsson,Styrelseledamot
Folkes Bygg & Byggnadsvård i Hanaskog AB,5566678172,complete,VFS,Firman tecknas var för sig av,198003261495,Carl Jonas,Gustafsson,Styrelseledamot
Folkes Bygg & Byggnadsvård i Hanaskog AB,5566678172,complete,VFS,Firman tecknas var för sig av,197209173579,Per David Andreas,Carlsson,Styrelseledamot
Folkes Bygg & Byggnadsvård i Hanaskog AB,5566678172,complete,VFS,Firman tecknas var för sig av,198802033558,Sven Albin Jonas,Carlsson,Styrelseledamot
Folkes Bygg & Byggnadsvård i Hanaskog AB,5566678172,complete,FAS,Firman tecknas av styrelsen,197209173579,Per David Andreas,Carlsson,Styrelseledamot
Förenade Byggpartner Entreprenad Orminge AB,5564531480,none,ALL,Ej tolkningsbart,196109030210,Stephan Olof,Hallsten,Styrelseledamot
Förenade Byggpartner Entreprenad Orminge AB,5564531480,none,ALL,Ej tolkningsbart,196007227272,Mats Håkan,Andersson,Revisor
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,VFS,Firman tecknas var för sig av,198305171467,Anna Katarina Isa,Nordström,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,FAS,Firman tecknas av styrelsen,197212276286,Anna Klara Helena,Eriksson,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,FAS,Firman tecknas av styrelsen,196905030109,Petronella Elisabet,Eriksson,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,FAS,Firman tecknas av styrelsen,198709143286,Judit Maria Estelle,Fritz,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,FAS,Firman tecknas av styrelsen,198609270197,Albin Ingemar Olle,Josephson,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,FAS,Firman tecknas av styrelsen,198305171467,Anna Katarina Isa,Nordström,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,FAS,Firman tecknas av styrelsen,196909181486,Eva Pernilla Maria,Sylwan,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,FAS,Firman tecknas av styrelsen,197302124958,Erik Gunnar,Tidäng,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,VFS,Firman tecknas var för sig av,197212276286,Anna Klara Helena,Eriksson,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,VFS,Firman tecknas var för sig av,196905030109,Petronella Elisabet,Eriksson,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,VFS,Firman tecknas var för sig av,197302124958,Erik Gunnar,Tidäng,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,VFS,Firman tecknas var för sig av,198609270197,Albin Ingemar Olle,Josephson,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,VFS,Firman tecknas var för sig av,196909181486,Eva Pernilla Maria,Sylwan,Styrelseledamot
Galleri-Ateljé Silverlod Ek. för.,7696050447,complete,VFS,Firman tecknas var för sig av,198709143286,Judit Maria Estelle,Fritz,Styrelseledamot
Gideåbygdens ekonomiska förening,7696211452,complete,FAS,Firman tecknas av styrelsen,195408157898,Kjell-Olov,Berglund,Styrelseledamot
Gideåbygdens ekonomiska förening,7696211452,complete,VFS,Firman tecknas var för sig av,196504037844,Marie Kristina,Nilsson,
Gideåbygdens ekonomiska förening,7696211452,complete,VFS,Firman tecknas var för sig av,195207267872,Hans Inge,Eriksson,
Gideåbygdens ekonomiska förening,7696211452,complete,FAS,Firman tecknas av styrelsen,197502077808,Ann Birgit Jennie,Vesterlund,Styrelseledamot
Gideåbygdens ekonomiska förening,7696211452,complete,FAS,Firman tecknas av styrelsen,195904187852,Tomas Helge,Edlund,Styrelseledamot
Gideåbygdens ekonomiska förening,7696211452,complete,FAS,Firman tecknas av styrelsen,195207267872,Hans Inge,Eriksson,Styrelseledamot
Gideåbygdens ekonomiska förening,7696211452,complete,FAS,Firman tecknas av styrelsen,197610307816,Nils Henrik,Hägglund,Styrelseledamot
Gideåbygdens ekonomiska förening,7696211452,complete,FAS,Firman tecknas av styrelsen,194701057855,Aron Stig Mats,Jansson,Styrelseledamot
Gideåbygdens ekonomiska förening,7696211452,complete,FAS,Firman tecknas av styrelsen,198306107833,Emil Per Jonas,Olsson,Styrelseledamot
Gray's American Stores AB,5564709649,none,ALL,Ej tolkningsbart,195912161071,Johan Olof,Höglund,"Styrelseledamot, Verkställande direktör"
Gray's American Stores AB,5564709649,none,ALL,Ej tolkningsbart,195604251172,Bengt Anders,Andersson,Revisor
Gray's American Stores AB,5564709649,none,ALL,Ej tolkningsbart,195909020215,Rolf Håkan,Eriksson,"Styrelseledamot, Ordförande"
Gray's American Stores AB,5564709649,none,ALL,Ej tolkningsbart,196606236609,Aksana Martina Elén,Höglund,Styrelsesuppleant
"Halltorpsbyn, BRF",7696356927,complete,FAS,Firman tecknas av styrelsen,197908182939,Hans Anders Christer,Blomqvist,Styrelseledamot
"Halltorpsbyn, BRF",7696356927,complete,FAS,Firman tecknas av styrelsen,196309179379,Jan Eirik,Johansen,Styrelseledamot
"Halltorpsbyn, BRF",7696356927,complete,FAS,Firman tecknas av styrelsen,196308021945,Annika Maria,Backlund,Styrelseledamot
Hästsportmässan i Skandinavien Ekonomisk förening,7696058994,complete,FAS,Firman tecknas av styrelsen,197405294120,Anna Kerstin Sofia,Fredriksson,Styrelseledamot
Hästsportmässan i Skandinavien Ekonomisk förening,7696058994,complete,IF,Firman tecknas i förening av,195805265559,Bengt Erik,Källqvist,
Hästsportmässan i Skandinavien Ekonomisk förening,7696058994,complete,IF,Firman tecknas i förening av,197405294120,Anna Kerstin Sofia,Fredriksson,
Hästsportmässan i Skandinavien Ekonomisk förening,7696058994,complete,FAS,Firman tecknas av styrelsen,196906292450,Peter Fred,Hansen,Styrelseledamot
Hästsportmässan i Skandinavien Ekonomisk förening,7696058994,complete,FAS,Firman tecknas av styrelsen,195805265559,Bengt Erik,Källqvist,Styrelseledamot
Hästsportmässan i Skandinavien Ekonomisk förening,7696058994,complete,FAS,Firman tecknas av styrelsen,196109081940,Pia Marie,Bogren Lindahl,Styrelseledamot
Hellborg & Co Blomsterhandel HB,9164002850,complete,VFS,Firman tecknas var för sig av,197812190465,Elin Kristina,Jättne,Bolagsman
Hellborg & Co Blomsterhandel HB,9164002850,complete,VFS,Firman tecknas var för sig av,165566736947,,EILA Framtidsförvaltning AB,Bolagsman
Information & Kompetens i Sverige AB,5564654605,none,ALL,Ej tolkningsbart,194506117755,Lars-Göran,Sjöström,Styrelseledamot
Information & Kompetens i Sverige AB,5564654605,none,ALL,Ej tolkningsbart,197106014090,Sven Johan Henrik,Olsson,Styrelseledamot
Information & Kompetens i Sverige AB,5564654605,none,ALL,Ej tolkningsbart,196506084158,Lars Markus,Niléhn,Huvudansvarig revisor
Information & Kompetens i Sverige AB,5564654605,none,ALL,Ej tolkningsbart,198111254036,Jonas Michael,Hagberg,"Styrelseledamot, Verkställande direktör"
Information & Kompetens i Sverige AB,5564654605,none,ALL,Ej tolkningsbart,165560535873,,Ernst & Young Aktiebolag,Revisor
Kalvträsk Handel Ekonomisk förening,7696052120,complete,FAS,Firman tecknas av styrelsen,196604198629,Lena Elisabeth,Bergström,Styrelseledamot
Kalvträsk Handel Ekonomisk förening,7696052120,complete,VFS,Firman tecknas var för sig av,196503278621,Eva Harriet Marianne,Lindgren,
Kalvträsk Handel Ekonomisk förening,7696052120,complete,FAS,Firman tecknas av styrelsen,196402268681,Gillian Amanda,Kingston,Styrelseledamot
Kalvträsk Handel Ekonomisk förening,7696052120,complete,VFS,Firman tecknas var för sig av,196402268681,Gillian Amanda,Kingston,
Kalvträsk Handel Ekonomisk förening,7696052120,complete,FAS,Firman tecknas av styrelsen,198305308531,Claes David Morgan,Boman,Styrelseledamot
"Katthult, HB",9164223522,complete,VFS,Firman tecknas var för sig av,197002104847,Aouicha Charlott,Johansson,Bolagsman
"Katthult, HB",9164223522,complete,VFS,Firman tecknas var för sig av,193209083033,Eskil Ingemar Hugo,Johansson,Bolagsman
"Katthult, HB",9164223522,complete,VFS,Firman tecknas var för sig av,165593446163,,TC Bemanning och Service AB,Bolagsman
"Katthult, HB",9164223522,complete,VFS,Firman tecknas var för sig av,165592626740,,Linköpings Bemanning & Service AB,Bolagsman
"Katthult, HB",9164223522,complete,VFS,Firman tecknas var för sig av,193706292608,Siv Annette Birgitta,Johansson,Bolagsman
"Katthult, HB",9164223522,complete,VFS,Firman tecknas var för sig av,165592595317,,Norrlanda Förvaltning AB,Bolagsman
Kymendö Service HB Eva och Bo Wahlström,9165023749,complete,VFS,Firman tecknas var för sig av,195505199355,Bo Albert,Wahlström,Bolagsman
Kymendö Service HB Eva och Bo Wahlström,9165023749,complete,VFS,Firman tecknas var för sig av,195612190164,Eva Gunilla,Wahlström,Bolagsman
"La Gazelle, HB",9166040882,complete,VFS,Firman tecknas var för sig av,199210151354,Alaeddin,Talah,Bolagsman
"La Gazelle, HB",9166040882,complete,VFS,Firman tecknas var för sig av,196501202656,Ali,Haddouni,Bolagsman
Ljungbergs Artist ekonomisk förening,7696048193,complete,VFS,Firman tecknas var för sig av,196206303312,Peter Sven Harald,Jönsson,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,VFS,Firman tecknas var för sig av,198305114145,Emma Linnéa,Persson Håkansson,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,FAS,Firman tecknas av styrelsen,198305114137,Albert Olof,Persson,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,VFS,Firman tecknas var för sig av,198305114137,Albert Olof,Persson,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,FAS,Firman tecknas av styrelsen,196206303312,Peter Sven Harald,Jönsson,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,VFS,Firman tecknas var för sig av,197801063954,Jens Daniel,Nordström,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,FAS,Firman tecknas av styrelsen,196206063973,Alexander Johan Henrik A,Åstrand,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,FAS,Firman tecknas av styrelsen,198305114145,Emma Linnéa,Persson Håkansson,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,FAS,Firman tecknas av styrelsen,197801063954,Jens Daniel,Nordström,Styrelseledamot
Ljungbergs Artist ekonomisk förening,7696048193,complete,VFS,Firman tecknas var för sig av,196206063973,Alexander Johan Henrik A,Åstrand,Styrelseledamot
Luca Faloni Filial,5164120163,complete,FAVE,Firman tecknas ensam av,198409010000,Luca,Faloni,
Marc O'Polo Einzelhandels GmbH Sweden filial,5164121963,complete,VFS,Firman tecknas var för sig av,197210300000,Markus,Staude-Skowronek,
Marc O'Polo Einzelhandels GmbH Sweden filial,5164121963,complete,VFS,Firman tecknas var för sig av,197601010000,Dirk,Schneider,
Marc O'Polo Einzelhandels GmbH Sweden filial,5164121963,complete,VFS,Firman tecknas var för sig av,198902210000,Maximilian,Böck,
Merf Stockholm AB,5569481368,partial,ALL,Ej tolkningsbart,195101030111,Johan Richard,Kaijser,Revisor
Merf Stockholm AB,5569481368,partial,ALL,Ej tolkningsbart,196603304814,Anders Lennart,Myrbäck,"Styrelseledamot, Verkställande direktör"
Merf Stockholm AB,5569481368,partial,OBEVD,Ej tolkningsbart,196603304814,Anders Lennart,Myrbäck,Verkställande direktör
Munk-Shopen i Munkedal HB,9168415868,complete,VFS,Firman tecknas var för sig av,195707123179,Frank August Dieter,Möller,Bolagsman
Munk-Shopen i Munkedal HB,9168415868,complete,VFS,Firman tecknas var för sig av,195202234844,Karina Erika Aldine,Möller,Bolagsman
MustaqbalLivs ekonomisk förening,7696297394,none,ALL,Ej tolkningsbart,198701010000,Ismail Mohamed,Mohamud,"Styrelseledamot, Vice verkställande direktör"
MustaqbalLivs ekonomisk förening,7696297394,none,ALL,Ej tolkningsbart,198702012884,Sihaem Muhamed,Huseen,"Styrelseledamot, Verkställande direktör, Ordförande"
Optimisten Lanthandel HB,9168978139,complete,VFS,Firman tecknas var för sig av,195507245008,Ingela Kristina,Andrée,Bolagsman
Optimisten Lanthandel HB,9168978139,complete,VFS,Firman tecknas var för sig av,194506305830,Nils Alf,Andrée,Bolagsman
Österling Bygg AB,5564740164,complete,FAS,Firman tecknas av styrelsen,196908274977,Johan Ulf,Englund,Styrelseledamot
Österling Bygg AB,5564740164,complete,FAS,Firman tecknas av styrelsen,196802126695,Bo Peter,Röseberg,Styrelseledamot
Österling Bygg AB,5564740164,complete,FAS,Firman tecknas av styrelsen,195509057153,Allan,Salåker,Styrelseledamot
Österling Bygg AB,5564740164,complete,FAS,Firman tecknas av styrelsen,196704056719,Per Arne,Wallstedt,Styrelseledamot
Österling Bygg AB,5564740164,complete,FAS,Firman tecknas av styrelsen,197102107211,Carl Bengt Mattias,Österling,Styrelseledamot
Österling Bygg AB,5564740164,complete,VFS,Firman tecknas var för sig av,196908274977,Johan Ulf,Englund,
Österling Bygg AB,5564740164,complete,VFS,Firman tecknas var för sig av,197102107211,Carl Bengt Mattias,Österling,
Österling Bygg AB,5564740164,complete,VD,Dessutom har verkställande direktören firmateckningsrätt beträffande löpande förvaltningsåtgärder,196704056719,Per Arne,Wallstedt,Verkställande direktör
Östgötamat ekonomisk förening,7696053698,complete,FAVE,Firman tecknas ensam av,196605121901,Marie Louise Margareta,Ridderström,Extern firmatecknare
Östgötamat ekonomisk förening,7696053698,complete,TVÅIF,Firman tecknas två i förening av,198901216013,Carl Hjalmar Olof,Olofsson,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,TVÅIF,Firman tecknas två i förening av,199401302980,Malin Evelina,Fritiofsson,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,TVÅIF,Firman tecknas två i förening av,198907052040,Mia Maria Anna Sara C,Ekvall Bremer,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,FAS,Firman tecknas av styrelsen,198907052040,Mia Maria Anna Sara C,Ekvall Bremer,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,TVÅIF,Firman tecknas två i förening av,199305258247,Kristin Maria,Danielsson,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,FAS,Firman tecknas av styrelsen,198901216013,Carl Hjalmar Olof,Olofsson,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,FAS,Firman tecknas av styrelsen,199401302980,Malin Evelina,Fritiofsson,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,TVÅIF,Firman tecknas två i förening av,198207124150,Alexander Erik,Åkerberg,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,FAS,Firman tecknas av styrelsen,196807070427,Eva-Lott Helena,Blixt,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,TVÅIF,Firman tecknas två i förening av,196807070427,Eva-Lott Helena,Blixt,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,FAS,Firman tecknas av styrelsen,198207124150,Alexander Erik,Åkerberg,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,TVÅIF,Firman tecknas två i förening av,196002222021,Annicka Elisabet,Björk Assarsson,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,FAS,Firman tecknas av styrelsen,196002222021,Annicka Elisabet,Björk Assarsson,Styrelseledamot
Östgötamat ekonomisk förening,7696053698,complete,FAS,Firman tecknas av styrelsen,199305258247,Kristin Maria,Danielsson,Styrelseledamot
Phil's Burger AB,5569587149,complete,VD,Dessutom har verkställande direktören firmateckningsrätt beträffande löpande förvaltningsåtgärder,199005014601,Hanna Denise,Scharf,Extern verkställande direktör
Phil's Burger AB,5569587149,complete,FAS,Firman tecknas av styrelsen,197201260374,Peder,Skaj,Styrelseledamot
Pluto Holding AB,5568993751,none,ALL,Ej tolkningsbart,169696677658,,Cedra Väst Kommanditbolag,Revisor
Pluto Holding AB,5568993751,none,ALL,Ej tolkningsbart,197111200155,Carl Göran Christian,Drougge,"Styrelseledamot, Ordförande"
Pluto Holding AB,5568993751,none,ALL,Ej tolkningsbart,197108297016,Johan Olof,Nordström,Styrelseledamot
Pluto Holding AB,5568993751,none,ALL,Ej tolkningsbart,196310085656,Nils Lars Johan,Magnusson,Huvudansvarig revisor
Ramsbergs Handel ekonomiska förening,7696402473,complete,FAS,Firman tecknas av styrelsen,194902106360,Ester Ulrika,Beskow,Styrelseledamot
Ramsbergs Handel ekonomiska förening,7696402473,complete,FAS,Firman tecknas av styrelsen,196901199510,Mats Stig,Premfors,Styrelseledamot
Ramsbergs Handel ekonomiska förening,7696402473,complete,FAS,Firman tecknas av styrelsen,195710050161,Agneta Kristina,Segerfelt,Styrelseledamot
Ramsbergs Handel ekonomiska förening,7696402473,complete,FAS,Firman tecknas av styrelsen,197808236686,Anna-Carin,Wallenstein,Styrelseledamot
Ramsbergs Handel ekonomiska förening,7696402473,complete,FAS,Firman tecknas av styrelsen,198206158944,Hanna Marie,Winsa,Styrelseledamot
Ramsbergs Handel ekonomiska förening,7696402473,complete,VFS,Firman tecknas var för sig av,194902106360,Ester Ulrika,Beskow,
Ramsbergs Handel ekonomiska förening,7696402473,complete,FAS,Firman tecknas av styrelsen,198306117808,Mirjam Elisabeth,Björkman,Styrelseledamot
Ramsbergs Handel ekonomiska förening,7696402473,complete,FAS,Firman tecknas av styrelsen,195709076615,Kent Lennart,Mattsson,Styrelseledamot
Ramsbergs Handel ekonomiska förening,7696402473,complete,VFS,Firman tecknas var för sig av,198306117808,Mirjam Elisabeth,Björkman,
Scanprop KB,9697554047,complete,FAVE,Firman tecknas ensam av,165568354434,,Scanprop Holding AB,Komplementär
"Skansens bageri, HB",9164224157,complete,VFS,Firman tecknas var för sig av,200104021571,Chakkarin,Duangprathum,Bolagsman
"Skansens bageri, HB",9164224157,complete,VFS,Firman tecknas var för sig av,197611112934,Marcus Lars Tommy,Danielsson,Bolagsman
The Lakhwani Group HKB HB,9166127218,complete,VFS,Firman tecknas var för sig av,165566442710,,Lakhwani Bros AB,Bolagsman
The Lakhwani Group HKB HB,9166127218,complete,VFS,Firman tecknas var för sig av,196802229291,Rajesh Teku,Lakhwani,Bolagsman
